2026-02-01|Estudiante|50.00|20.00|1000.00|5.0000|0.4200|0.2500
2026-02-08|Estudiante|50.00|20.00|1000.00|5.0000|0.4200|0.2500
2026-02-01|Estudiante|1212221.00|2121212122.00|122312.00|12.0000|225583.0700|0.2500
2026-02-01|Estudiante|100.00|15.00|100.00|1.0000|2.3000|0.2500
2026-02-01|Profesor|100.00|15.00|100.00|1.0000|2.3000|0.8000
2026-02-01|Empleado|100.00|15.00|100.00|1.0000|2.3000|1.0000
2026-02-01|Estudiante|45445.00|5454545.00|54645645.00|1.0000|0.2013|0.2500
2026-02-01|Estudiante|454455555555555550000000000000000000000.00|5454545.00|54645645.00|1.0000|20702.0000|0.2500
2026-02-01|Estudiante|454455555555555550000000000000000000000.00|5454545.00|54645645.00|1.0000|20702.0000|0.2500
2026-02-26|Estudiante|100.00|1000.00|100.00|50.0000|16.5000|0.2500
2026-03-06|Estudiante|100.00|100.00|100.00|1.0000|2.0200|0.2500
2026-03-10|Estudiante|1000.00|118.50|100000000000000.00|5.0000|0.0000|0.2500
2026-03-12|Estudiante|1000.00|118.50|1000.00|5.0000|1.1744|0.2500
2026-03-10|Profesor|1000.00|118.50|1000.00|5.0000|1.1744|0.7500
2026-03-10|Empleado|1000.00|118.50|1000.00|5.0000|1.1744|1.1000
